,"prefers_type_regular_cups_(chocolate,_vanilla,_strawberry,_mango)",prefers_type_premium_cups_(exclusive_flavors),prefers_type_cone,prefers_type_lolly,"prefers_type_ice_cream_sticks_(chocbar,_crunchy_bar_etc.)",prefers_type_box_or_tubs,prefers_type_scoops_(from_ice_cream_parlor),prefers_type_other,factor_taste,factor_price,factor_availability,factor_brand_reputation,factor_flavors,factor_packaging,factor_health_value,factor_other,willing_to_try_pistachio,willing_to_try_orange,willing_to_try_carrot,willing_to_try_jalpai,willing_to_try_none_of_these,willing_to_try_other,marketing_channel_social_media,marketing_channel_tv_ads,marketing_channel_word_of_mouth,marketing_channel_in-store_promotions___shopkeeper_recommendation,marketing_channel_billboards,marketing_channel_online_ads,marketing_channel_other,motivation_price_discounts,motivation_new_flavors,motivation_availability,motivation_attractive_packaging,motivation_brand_reputation,motivation_word_of_mouth,motivation_advertisement,motivation_other,num_types_preferred,num_purchase_factors,num_marketing_channels
willing_to_try_none_of_these,0.03921102332170313,-0.03242432936095749,-0.03724781584964576,-0.1318027933763597,-0.11481277662310695,-0.14615033883979844,-0.14810513551098392,0.013379300093671477,0.09914616928089671,-0.06291407335205265,-0.17901018972829996,-0.03850108293491155,-0.31301375605355697,-0.07075724426009869,0.06912159617300855,0.06912159617300855,-0.573814567517013,-0.3457171094794251,-0.1731327159821574,-0.21555659689428772,1.0,-0.045489292734513694,0.020600512393626702,-0.06140405107575563,-0.0768592967633193,-0.12358677710444786,-0.0897548714210477,-0.04724951432916794,-0.047596703922186526,0.1414325150613484,-0.1899672163108623,-0.18625183763304012,-0.0007874919054860597,-0.04163631791214144,-0.10765990479675411,-0.06990176365530003,-0.11388557771741817,-0.14356407810042504,-0.13471070644589,-0.15211692825637674
willing_to_try_other,0.08786284019778004,-0.05277291268321469,-0.10415433852097383,-0.05277291268321462,-0.10238251947232511,-0.07655590023509536,-0.06248351053977578,0.05035797466984431,0.040501049044047076,-0.10970680682690062,-0.06003465857874309,-0.06003465857874313,-0.13678822577626598,-0.04425708371198287,-0.03528044759599944,-0.03528044759599944,-0.10781433867501869,-0.06495698024616307,-0.03253000243161777,-0.040501049044047055,-0.045489292734513694,1.0,-0.14837460030282146,-0.07000203497245565,0.14531393175878768,-0.05156616454358409,-0.03922322702763682,-0.06125638918316886,-0.02493191973355882,-0.09403048962790746,-0.1290994448735806,-0.08348113126204974,-0.061256389183168905,-0.053979189635941345,-0.05639399125837508,-0.03661566909207266,0.3994297930101855,-0.08211937065975813,-0.12102214507507408,-0.09194955379108814
marketing_channel_social_media,0.12625248377301232,0.04868675848112716,0.05543555176331891,0.004831510383623292,0.08267459524959038,-0.06058664063704311,0.014140802362863272,0.15503344520911727,-0.06747934643201557,0.1263166452785174,0.11525410346278712,0.19792877950296278,0.06725503562825215,0.10435669751124747,0.12441395307994622,0.12441395307994622,0.07706746355884524,-0.204438266630207,0.03832908968626752,-0.13800614721902543,0.020600512393626702,-0.14837460030282146,1.0,0.11869622962000198,-0.1038727898166645,-0.18505396703545401,0.05429466343317951,0.08479401838835389,-0.20749604881505965,0.25605539589550835,-0.0074366775478859545,0.03120403011365865,0.08479401838835386,0.1469912879008079,-0.0021595367685788326,0.0813247502591829,-0.19957194664527733,0.10791718942163354,0.20467031151992127,0.3385854222732887
marketing_channel_tv_ads,0.014344536491154856,0.017677112031497362,0.10460218220960724,0.01767711203149739,0.117305205533996,0.0540736273960896,-0.1322006501331085,-0.006749726309171903,0.14007474412476872,0.1020569196439891,0.16368157601777544,0.04802633068785028,0.05628981453356195,0.13487481036236615,0.08108667148685746,0.08108667148685746,0.22166225237231307,-0.12023433378823047,0.1834972433645833,-0.09216512149658693,-0.06140405107575563,-0.07000203497245565,0.11869622962000198,1.0,-0.09291913265841745,-0.04981076531812625,0.16850970625604286,0.11019347551545645,0.00593599879950371,0.14566839681946195,0.20743581267094086,0.20130893328212596,0.11019347551545643,0.20494360018720567,-0.14500890481971998,0.2658917719910202,-0.09509956702624271,0.05216506452006093,0.20217604605770229,0.5115566331933982
marketing_channel_word_of_mouth,-0.06986404405647646,0.02799242275556448,-0.0006388181614377487,0.24530202046323607,0.04782087786823131,0.08264017440710714,0.13467089575106403,-0.05436017076051367,0.12598224758845988,0.1943726929573347,-0.00347174509097009,-0.08540492923786452,0.14765945930065913,-0.016286731354043852,0.03808435840399935,0.03808435840399935,-0.022463606347822764,0.03034013848311817,-0.044569446932635017,0.17948155820821698,-0.0768592967633193,0.14531393175878768,-0.1038727898166645,-0.09291913265841745,1.0,0.0410027809639086,0.09438400878445181,-0.015153585313452872,-0.022708166147411606,-0.0856436248877738,0.21841939366860486,0.17789366566982082,0.02548557529989801,0.058269181502270756,0.36953573243563287,0.07596344800675646,0.023098630955841276,0.10233716841004971,0.11540760008959729,0.35054841482724175
marketing_channel_in-store_promotions___shopkeeper_recommendation,0.05138702309854395,0.005489512306334829,0.13397455149833654,0.05175825888829991,0.06312742298115247,0.06529556615835055,0.052398499459457286,0.06671219640313046,-0.02663994509376761,-0.015074045461329694,0.20475590059109924,0.030306830051390135,0.16228979693693013,0.09102738515680234,-0.03344871385602569,-0.03344871385602569,0.03484660262185848,0.07393006717664631,-0.1326381668569383,0.08083845407763973,-0.12358677710444786,-0.05156616454358409,-0.18505396703545401,-0.04981076531812625,0.0410027809639086,1.0,0.15118870556810132,-0.023465052326598027,-0.15042028661807086,-0.049301821323780685,0.18901588419231985,0.1771640580438795,-0.02346505232659796,0.22331621049563274,0.1526516728457024,0.18639379565539055,-0.038422453831422766,0.12765978927190078,0.10904924256202242,0.30014666770443693
marketing_channel_billboards,0.1672053506568329,-0.023197423410417244,0.04425708371198288,0.08629441508675206,0.1935602491973589,0.03253000243161779,0.018082966026816343,0.06276753890160056,0.05760699414746555,0.26186272327150084,0.18891847270381884,0.13731574173379435,0.18513512836978624,0.09949895520829394,0.050370793407280796,0.050370793407280796,0.07761140001162654,0.0025478223832250406,0.0012759316705849427,-0.05760699414746551,-0.0897548714210477,-0.03922322702763682,0.05429466343317951,0.16850970625604286,0.09438400878445181,0.15118870556810132,1.0,0.23079011479094014,-0.11441551070947104,0.03995527512378197,0.10464973459864563,0.2329148226856185,0.12840953755285386,0.23945961891498344,0.006290245103533925,0.31389611883627877,-0.09819805060619662,0.1534606237731131,0.2792778457767926,0.5689211024405015
marketing_channel_online_ads,0.1136981370535062,0.09201985355524298,0.06911795253519318,0.13476923434074956,0.08027626826688153,0.20067314773265438,0.10758418401949592,0.054211584489160955,-0.010184944513703291,0.25955720592258796,0.1338612333377648,0.33533604882062545,0.20978915883801708,0.20264942851200454,0.023412488975383488,0.023412488975383488,0.08396223711454154,0.04310615900632577,0.11956022934483665,0.06026092170607798,-0.04724951432916794,-0.06125638918316886,0.08479401838835389,0.11019347551545645,-0.015153585313452872,-0.023465052326598027,0.23079011479094014,1.0,-0.032262931866215906,0.06239965623375282,0.16343542732914695,0.3267494981800411,0.28048780487804875,0.2894351157197594,0.13402350502490887,0.11389948355226442,-0.06957981386033098,0.21946487413463794,0.32378594776455466,0.5338683035908327
marketing_channel_other,-0.013730300661787884,0.0809514239227251,0.17147518829030264,0.0809514239227252,0.04020333593225559,0.1197998420888031,0.10837471297191541,-0.09385019343538314,0.11814296175526007,0.22725955166024797,-0.02751935635479948,0.04628255386943564,-0.035714394047563096,0.04401117438872066,-0.10291428665241599,-0.10291428665241599,0.09481194446289043,0.16883310618810543,0.33576865955683327,0.24872202474791624,-0.047596703922186526,-0.02493191973355882,-0.20749604881505965,0.00593599879950371,-0.022708166147411606,-0.15042028661807086,-0.11441551070947104,-0.032262931866215906,1.0,-0.004571503208825071,0.05069447770645303,0.09533933949649225,0.11416114352661008,-0.0026243194054073765,0.13879959544451204,0.09012024053458077,0.3979197122568791,0.13043290477504643,0.0586050711303272,0.027022167269470803
motivation_price_discounts,0.25374009895915095,0.0493830706715496,0.1174796846330304,0.049383070671549616,0.03234698354268031,-0.014037248126871904,0.006812236036465681,0.11011935817926524,-0.01563421109580729,0.20349006722907967,0.007548289552845782,0.04466071318767088,-0.04335059295932697,0.0789363779189861,0.06986523926231926,0.06986523926231926,-0.01976877835631601,-0.13803936845491285,0.07524677658355408,-0.1688494798347196,0.1414325150613484,-0.09403048962790746,0.25605539589550835,0.14566839681946195,-0.0856436248877738,-0.049301821323780685,0.03995527512378197,0.06239965623375282,-0.004571503208825071,1.0,-0.16691515516711516,-0.06642684120371843,-0.08486353247790372,0.18475510257514233,0.10404998811499597,0.14182964017949853,-0.08108628932418621,0.15703804794208745,0.10718125550877727,0.14645395923930013
motivation_new_flavors,-0.03524445781520744,0.03453462753687751,0.0855671554451173,0.2840296917828906,0.18118178535252977,0.19210711456800197,0.05951832759922866,-0.049120076343195894,0.22208057891294733,0.23215148362163762,0.1906608509539907,0.11227067530043353,0.3649585362677976,0.06700453428393943,0.05829998335404771,0.05829998335404771,0.2916801332810131,0.00838591009044376,0.08043859297375859,0.07017416062305029,-0.1899672163108623,-0.1290994448735806,-0.0074366775478859545,0.20743581267094086,0.21841939366860486,0.18901588419231985,0.10464973459864563,0.16343542732914695,0.05069447770645303,-0.16691515516711516,1.0,0.28671865022117504,0.1245536119564869,0.21254484421013548,0.23547650373312323,0.1790374942123468,0.0027624731005491663,0.19399199085639424,0.34718387114385946,0.35160116176370726
motivation_availability,0.03932370568453657,-0.0010060802864193912,0.11516670279090814,0.15728388477690136,0.16458635703918714,0.2927487751033073,0.0874517159143037,-0.03540299741259248,0.11745788525792746,0.2077442617543581,0.3461357346707857,0.19693384721452006,0.27978324771159785,0.18017506989623272,-0.03771033561961312,-0.03771033561961312,0.22264907731249534,0.12615409708664194,0.11759239659938166,0.1606698162892721,-0.18625183763304012,-0.08348113126204974,0.03120403011365865,0.20130893328212596,0.17789366566982082,0.1771640580438795,0.2329148226856185,0.3267494981800411,0.09533933949649225,-0.06642684120371843,0.28671865022117504,1.0,0.1787401285629784,0.17706987490542703,0.2156498952187573,0.18978322547419924,-0.053893278353197786,0.217021417178838,0.3470627932297276,0.4597979387197063
